Title;Rating;Image;Demography;Genres;Year
"
Masamune-kun no Revenge: After School

";6.67/10;https://otakuteca.com/images/books/cover/60f4effc37fb9.jpg;Shounen;Comedia, Drama, Ecchi, Harem, Romance, Vida Escolar;2018 - 2019
"
Namae no Nai Kaibutsu

";8.63/10;https://otakuteca.com/images/books/cover/6312c2cbec5b8.jpg;Seinen;Gore, Horror, Romance, Sobrenatural;2018 - 2021
"
About the Reckless Girl Who Kept Challenging a Reborn Man Like Me

";0.00/10;https://otakuteca.com/images/books/cover/39735_TMOManga5b1f2bb68f438.jpg;Shounen;Reencarnación, Romance, Vida Escolar;2017
"
Aizawa-san Zoushoku

";7.80/10;https://otakuteca.com/images/books/cover/635196d97aac6.jpg;Shounen;Comedia, Ecchi, Sobrenatural, Romance, Ciencia Ficción, Harem, Vida Escolar;2013
"
Akairo Crossroads

";9.06/10;https://otakuteca.com/images/books/cover/5b7a464af08f4.jpg;Shoujo;Comedia, Vida Escolar, Sobrenatural, Romance, Drama;2016 - 2018
"
Akarui Sekai Keikaku

";7.50/10;https://otakuteca.com/images/books/cover/634e489ac89fb.jpg;Shounen;Acción, Comedia, Ecchi, Romance, Harem, Vida Escolar;2012
"
Bleach

";7.42/10;https://otakuteca.com/images/books/cover/5db9f8167ed7c.jpg;Shounen;Acción, Comedia, Samurái, Sobrenatural;2001 - 2016
"
Bocchi na Bokura no Renai Jijou

";8.50/10;https://otakuteca.com/images/books/cover/634f4f99dccff.jpg;Shounen;Comedia, Drama, Recuentos de la vida, Romance, Vida Escolar;2013
"
Boku wa Nando Demo, Kimi ni Hajimete no Koi wo Suru

";6.50/10;https://otakuteca.com/images/books/cover/634e244844a86.jpg;Shounen;Drama, Romance, Recuentos de la vida;2016
"
Can You Just Die, My Darling?

";5.00/10;https://otakuteca.com/images/books/cover/5e45695cc226e.jpg;Shounen;Drama, Sobrenatural, Horror, Romance, Vida Escolar;2015 - 2019
"
Death Note 3 Years Later

";6.00/10;https://otakuteca.com/images/books/cover/5fb332694aaae.jpg;Shounen;Sobrenatural, Misterio;2007
"
Death Note Episode 0

";8.00/10;https://otakuteca.com/images/books/cover/12009_TMOmanga035250.jpg;Shounen;Sobrenatural, Misterio;2006
"
Cómo Conquistar A Una Doble Novia

";8.67/10;https://otakuteca.com/images/books/cover/61da1ceb4e78a.jpg;Shounen;Comedia, Romance, Vida Escolar;2021 - 2022
"
Fukushuu Kyoushitsu

";8.67/10;https://otakuteca.com/images/books/cover/9676_TMOmanga095129.jpg;Seinen;Acción, Drama, Horror, Psicológico, Vida Escolar;2013 - 2016
"
Furareta Sono hi ni Kyoudai ni Narimashita

";0.00/10;https://otakuteca.com/images/books/cover/5ccd9fe388cc1.jpg;Shoujo;Comedia, Drama, Romance, Vida Escolar;2016
