Title;Rating;Image;Demography;Genres;Year;List
Masamune-kun no Revenge: After School;6.67/10;https://otakuteca.com/images/books/cover/60f4effc37fb9.webp;Shounen;Comedia, Drama, Ecchi, Harem, Romance, Vida Escolar;2018 - 2019;Leido
Namae no Nai Kaibutsu;8.63/10;https://otakuteca.com/images/books/cover/6312c2cbec5b8.webp;Seinen;Gore, Horror, Romance, Sobrenatural;2018 - 2021;Leido
About the Reckless Girl Who Kept Challenging a Reborn Man Like Me;0.00/10;https://otakuteca.com/images/books/cover/39735_TMOManga5b1f2bb68f438.webp;Shounen;Reencarnación, Romance, Vida Escolar;2017;Leido
Aizawa-san Zoushoku;7.80/10;https://otakuteca.com/images/books/cover/635196d97aac6.webp;Shounen;Comedia, Ecchi, Sobrenatural, Romance, Ciencia Ficción, Harem, Vida Escolar;2013;Leido
Akairo Crossroads;9.06/10;https://otakuteca.com/images/books/cover/5b7a464af08f4.webp;Shoujo;Comedia, Vida Escolar, Sobrenatural, Romance, Drama;2016 - 2018;Leido
Akarui Sekai Keikaku;7.50/10;https://otakuteca.com/images/books/cover/634e489ac89fb.webp;Shounen;Acción, Comedia, Ecchi, Romance, Harem, Vida Escolar;2012;Leido
Bleach;7.39/10;https://otakuteca.com/images/books/cover/5db9f8167ed7c.webp;Shounen;Acción, Comedia, Samurái, Sobrenatural, Fantasia, Romance, Superpoderes;2001 - 2016;Leido
Bocchi na Bokura no Renai Jijou;9.00/10;https://otakuteca.com/images/books/cover/634f4f99dccff.webp;Shounen;Comedia, Drama, Recuentos de la vida, Romance, Vida Escolar;2013;Leido
Boku wa Nando Demo, Kimi ni Hajimete no Koi wo Suru;6.50/10;https://otakuteca.com/images/books/cover/634e244844a86.webp;Shounen;Drama, Romance, Recuentos de la vida;2016;Leido
Death Note 3 Years Later;6.00/10;https://otakuteca.com/images/books/cover/5fb332694aaae.webp;Shounen;Sobrenatural, Misterio;2007;Leido
Death Note Episode 0;8.00/10;https://otakuteca.com/images/books/cover/12009_TMOmanga035250.webp;Shounen;Sobrenatural, Misterio;2006;Leido
Cómo Conquistar A Una Doble Novia;8.67/10;https://otakuteca.com/images/books/cover/61da1ceb4e78a.webp;Shounen;Comedia, Romance, Vida Escolar;2021 - 2022;Leido
Fukushuu Kyoushitsu;8.67/10;https://otakuteca.com/images/books/cover/9676_TMOmanga095129.webp;Seinen;Acción, Drama, Horror, Psicológico, Vida Escolar;2013 - 2016;Leido
Furareta Sono hi ni Kyoudai ni Narimashita;0.00/10;https://otakuteca.com/images/books/cover/5ccd9fe388cc1.webp;Shoujo;Comedia, Drama, Romance, Vida Escolar;2016;Leido
Pseudo Harem;9.13/10;https://otakuteca.com/images/books/cover/5ea7b47d8a055.webp;Shounen;Comedia, Romance, Vida Escolar, Recuentos de la vida;2018 - 2021;Leido
Go-Toubun no Hanayome;7.75/10;https://otakuteca.com/images/books/cover/5ca040478ac6e.webp;Shounen;Comedia, Harem, Romance, Vida Escolar, Recuentos de la vida, Drama;2017 - 2020;Leido
Gochuumon wa Usagi desu ka? - Luminocity 22 (Doujinshi);0.00/10;https://otakuteca.com/images/books/cover/5d32439bcde39.webp;Shoujo;Comedia, Girls Love;;Leido
Hadi Girl;7.50/10;https://otakuteca.com/images/books/cover/5c36479e1f526.webp;Seinen;Comedia, Recuentos de la vida, Romance, Vida Escolar;2011 - 2013;Leido
Haji-Otsu-;8.95/10;https://otakuteca.com/images/books/cover/8403_TMOmanga.webp;Seinen;Comedia, Recuentos de la vida, Romance, Vida Escolar;2010;Leido
Mis primeras veces con Suwa-san;7.50/10;https://otakuteca.com/images/books/cover/5f747df64287e.webp;Seinen;Comedia, Romance;2020;Leido
Hatsukoi Maze;9.60/10;https://otakuteca.com/images/books/cover/5fcb9144cd14d.webp;Shoujo;Comedia, Drama, Romance, Vida Escolar;2020 - 2022;Leido
Hazuki Kanon is not sweet;8.71/10;https://otakuteca.com/images/books/cover/6355c854a68f6.webp;Seinen;Comedia, Recuentos de la vida, Romance, Vida Escolar;2013 - 2016;Leido
Hibi Chouchou;9.50/10;https://otakuteca.com/images/books/cover/5c81c6079670f.webp;Shoujo;Comedia, Romance, Vida Escolar, Recuentos de la vida;2012 - 2015;Leido
Himeno-chan ni Koi wa mada Hayai;8.60/10;https://otakuteca.com/images/books/cover/5f488fb47c622.webp;Shounen;Comedia, Romance, Vida Escolar;2018 - 2021;Leido
Hoshoku-kei;0.00/10;https://otakuteca.com/images/books/cover/5dbcb27ee721a.webp;Shounen;Comedia, Romance, Ciencia Ficción, Recuentos de la vida;2019;Leido
Me equivoqué;9.50/10;https://otakuteca.com/images/books/cover/5bdeaaec8ae86.webp;Seinen;Crimen, Drama, Psicológico, Romance, Vida Escolar, Sobrenatural, Tragedia;2018;Leido
Ichijou Kaname to wa Kaka Waranai;9.18/10;https://otakuteca.com/images/books/cover/16880_TMOManga576839814c8d7.webp;Shoujo;Romance, Vida Escolar, Fantasia;2016;Leido
Inu To Kuzu;8.27/10;https://otakuteca.com/images/books/cover/61441b12d5ff3.webp;Seinen;Drama, Ecchi, Misterio, Romance, Psicológico, Thriller;2021 - 2022;Leido
Jitsu wa Watashi wa;9.69/10;https://otakuteca.com/images/books/cover/8068_TMOmanga164146.webp;Shounen;Comedia, Fantasia, Sobrenatural, Romance, Vida Escolar, Recuentos de la vida;2013 - 2017;Leido
Kaguya-sama wa Kokurasetai: Tensai-tachi no Ren'ai Zunōsen;9.19/10;https://otakuteca.com/images/books/cover/5ec3178e58054.webp;Seinen;Comedia, Psicológico, Romance, Vida Escolar, Drama, Recuentos de la vida;2015 - 2022;Leido
Kanojo mo Kanojo;9.00/10;https://otakuteca.com/images/books/cover/6134315b6229b.webp;Shounen;Comedia, Romance, Vida Escolar, Harem, Drama, Recuentos de la vida;2020 - 2023;Leido
Kanojo wa Rokurokubi;8.25/10;https://otakuteca.com/images/books/cover/12304_TMOmanga151053.webp;Shounen;Comedia, Sobrenatural, Vida Escolar, Drama, Romance;2015 - 2016;Leido
Kanpeki na Kanojo;0.00/10;https://otakuteca.com/images/books/cover/11517_TMOmanga005038.webp;Seinen;Comedia, Romance, Vida Escolar;2008;Leido
