Title;Author;Languaje;Image;Tags;Genres;Year;Rating;ListName
A Transmigrator’s Privilege;irinbi;Korean;https://cdn.novelupdates.com/images/2022/09/A-Transmigrators-Privilege.jpg;Adapted to Manhwa, Age Progression, Assassins, Beautiful Female Lead, Child Protagonist, Childhood Friends, Demon Lord, Demons, Divine Protection, Doting Older Siblings, Doting Parents, Dungeons, Family, Female Protagonist, Friendship, Game Elements, Gods, Handsome Male Lead, Healers, Mysterious Past, Overpowered Protagonist, Playful Protagonist, Priests, Reincarnated in a Game World, Saving the World, Strong to Stronger, Sword And Magic, Sword Wielder, Transmigration;Action, Adventure, Comedy, Fantasy, Romance;2021;4.5/5.0;Edit Lists
Academy’s Black-Haired Foreigner;노빠꾸맨;Korean;https://cdn.novelupdates.com/images/2023/06/Academys-BlackHaired-Foreigner.jpg;Academy, Appearance Different from Actual Age, Arrogant Characters, Average-looking Protagonist, Betrayal, Caring Protagonist, Comedic Undertone, Destiny, Determined Protagonist, Different Social Status, Dungeons, Evil Organizations, Kind Love Interests, Male Protagonist, Misunderstandings, Modern Day, Parody, Reincarnated in Another World, Reincarnation, Saving the World, Secret Organizations, Selfish Protagonist, Stoic Characters, Sword Wielder, Transported Modern Structure, Tsundere, Unique Weapon User, Unique Weapons, Weak to Strong;Action, Adventure, Fantasy, Harem, Romance, School Life;2021;3.1/5.0;Edit Lists
Academy’s Second Seat;윤매미;Korean;https://cdn.novelupdates.com/images/2022/09/Academys-Second-Seat.jpg;Academy, Aristocracy, Beautiful Female Lead, Complex Family Relationships, Dense Protagonist, Game Elements, Handsome Male Lead, Hard-Working Protagonist, Kind Love Interests, Knights, Love Interest Falls in Love First, Magic, Magic Formations, Male Protagonist, Misunderstandings, Nobles, Older Love Interests, Personality Changes, Polygamy, Royalty, Senpai-Kouhai Relationship, Sibling Rivalry, Strong Love Interests, Student Council, Summoning Magic, Sword And Magic, Teachers, Tragic Past, Transmigration, Transported into a Game World, Wizards, Younger Love Interests;Action, Fantasy, Harem, Romance, School Life, Slice of Life;2021;3.9/5.0;Edit Lists
Avoid the Yandere Goddess;앤비즈;Korean;https://cdn.novelupdates.com/images/2023/07/Avoid-Yandere-Constellation_1688876394.jpg;Academy, Aggressive Characters, Character Growth, Clever Protagonist, Cunning Protagonist, Game Elements, God-human Relationship, Handsome Male Lead, Magic, Male Protagonist, Obsessive Love, Possessive Characters, Proactive Protagonist, R-18, Schemes And Conspiracies, Sword And Magic, Time Loop, Transported into a Game World, Transported to Another World, Trickster, Weak to Strong, Yandere;Action, Comedy, Fantasy, Harem, Mature, Romance, School Life;2021;4.0/5.0;Edit Lists
City Of Witches;seolmgejineunkkoch;Korean;https://cdn.novelupdates.com/images/2022/08/City-Of-Witches.jpg;An*l, Academy, Amnesia, Beautiful Female Lead, Dense Protagonist, Depictions of Cruelty, First-time Interc**rse, F*llatio, Handsome Male Lead, H*ndjob, Love Interest Falls in Love First, Magic, Male Protagonist, Misunderstandings, Nobles, Older Love Interests, Polygamy, R-18, Reverse R*pe, R*pe, S*ave Protagonist, Stockholm Syndrome, Strong Love Interests, Tsundere, Twins, Weak to Strong, Witches, Yandere, Younger Love Interests;Action, Adult, Ecchi, Fantasy, Harem, Romance;2021;3.9/5.0;Edit Lists
Danjohi ga Bukkowareta Sekai no Hito to Jinsei wo Koukanshimashita;Mogi Suzu;Japanese;https://cdn.novelupdates.com/images/2023/03/Danjohi-ga-Bukkowareta-Sekai-no-Hito-to-Jinsei-wo-Koukanshimashita.png;Adapted to Manga, Alternate World, Beautiful Female Lead, Gods, Handsome Male Lead, Male Protagonist, Matriarchy, Modern Day, Parallel Worlds, Polygamy, Transmigration, Transported to Another World, Younger Sisters;Comedy, Drama, Harem, Romance, School Life, Shounen, Slice of Life;2021;3.8/5.0;Edit Lists
How To Live As An Academy Extra Villain;아가다람쥐;Korean;https://cdn.novelupdates.com/images/2023/10/How-To-Live-As-An-Academy-Extra-Villain.jpeg;Academy, Alchemy, Aristocracy, Beautiful Female Lead, Broken Engagement, Brother Complex, Caring Protagonist, Demons, Dense Protagonist, Devoted Love Interests, Fantasy World, Fat to Fit, Handsome Male Lead, Hated Protagonist, Kind Love Interests, Knights, Love Interest Falls in Love First, Magic, Male Protagonist, Manipulative Characters, Mob Protagonist, Monsters, Multiple POV, Nobles, Popular Love Interests, Possessive Characters, Reincarnation, Royalty, Saints, Special Abilities, Spirit Users, Spirits, Sword And Magic, Transmigration, Weak to Strong, Younger Sisters;Action, Fantasy, Harem, Romance, School Life, Slice of Life;2023;3.9/5.0;Edit Lists
I Became A Flashing Genius At The Magic Academy;은밀히;Korean;https://cdn.novelupdates.com/images/2022/05/I-Become-A-Flashing-Genius-At-The-Magic-Academy.jpg;Academy, Alchemy, Aristocracy, Artifacts, Battle Academy, Beautiful Female Lead, Cautious Protagonist, Clever Protagonist, Demons, Dense Protagonist, Dragons, Dwarfs, Elemental Magic, Elves, Evil Organizations, Fantasy World, Genius Protagonist, Gods, Kingdoms, Kuudere, Late Romance, Level System, Love Interest Falls in Love First, Magic, Magic Beasts, Magical Technology, Male Protagonist, Misunderstandings, Mob Protagonist, Multiple POV, Multiple Transported Individuals, Orphans, Otome Game, Romantic Subplot, Ruthless Protagonist, Slow Growth at Start, Slow Romance, Spirits, Stoic Characters, Sword And Magic, Transmigration, Transported into a Game World, Tsundere, Wizards;Action, Adventure, Fantasy, Harem, Romance, School Life, Shounen, Supernatural;2021;4.4/5.0;Edit Lists
I Became a Genius Swordsman in the Pretty Girl Game;유다트;Korean;https://cdn.novelupdates.com/images/2023/09/I-Became-a-Genius-Swordsman-in-the-Pretty-Girl-Game.jpg;Academy, Adventurers, Alternate World, Beautiful Female Lead, Cheats, Clumsy Love Interests, Discrimination, Fantasy World, Handsome Male Lead, Hard-Working Protagonist, Male Protagonist, Matriarchy, Protagonist Strong from the Start, Reincarnated in a Game World, Transmigration, Transported into a Game World, Transported to Another World, Weak to Strong;Action, Adventure, Comedy, Fantasy, Harem, Romance, School Life;2023;3.5/5.0;Edit Lists
I Became the Academy’s Kibitz Villain;Cherry Blossom Latte;Korean;https://cdn.novelupdates.com/images/2023/07/I-Became-the-Academys-Kibitz-Villain.png;Academy, Antihero Protagonist, Battle Academy, Beautiful Female Lead, C*nnilingus, Comedic Undertone, Cruel Characters, Depictions of Cruelty, Devoted Love Interests, Discrimination, Evil Organizations, First-time Interc**rse, F*llatio, Game Elements, Handsome Male Lead, Harem-seeking Protagonist, Heroes, Hidden Abilities, Hiding True Identity, Lack of Common Sense, Library, Love Interest Falls in Love First, Male Protagonist, Misunderstandings, Nationalism, Polygamy, Possession, Psychopaths, R-18, Romantic Subplot, Schemes And Conspiracies, Secret Identity, Secret Organizations, Special Abilities, Spies, Strong Love Interests, Strong to Stronger, System Administrator, Threesome, Transformation Ability, Transmigration, Transported to Another World, Unreliable Narrator, Weak to Strong;Action, Adventure, Fantasy, Harem, Romance, School Life, Supernatural, Tragedy;2022;3.5/5.0;Edit Lists
I Became the Fiancé of a Crazy Heroine;루인메이커;Korean;https://cdn.novelupdates.com/images/2023/03/I-Became-the-Fianc-of-a-Crazy-Heroine.jpg;Aristocracy, Arranged Marriage, Beautiful Female Lead, Caring Protagonist, Charming Protagonist, Clumsy Love Interests, Engagement, Forced into a Relationship, Forced Living Arrangements, Forced Marriage, Male Protagonist, Marriage of Convenience, Nobles, Reincarnated in Another World, Sword And Magic;Action, Adventure, Fantasy, Romance;2021;3.7/5.0;Edit Lists
I Became the Male Lead who was Clinging onto the Female Leads;금개;Korean;https://cdn.novelupdates.com/images/2023/07/I-Became-the-Male-Lead-who-was-Clinging-onto-the-Female-Leads.jpg;Academy, Aristocracy, Beautiful Female Lead, Hard-Working Protagonist, Magic, Male Protagonist, Multiple POV, Nobles, Overpowered Protagonist, Popular Love Interests, Royalty, Strong Love Interests, Transmigration, Transported into a Game World;Action, Fantasy, Harem, Romance, School Life;2023;3.7/5.0;Edit Lists
I Don’t Need a Guillotine for My Revolution;Carcassonne;Korean;https://cdn.novelupdates.com/images/2024/01/I-Dont-Need-a-Guillotine-for-My-Revolution.png;Age Progression, Androgynous Characters, Archery, Aristocracy, Army Building, Arranged Marriage, Arrogant Characters, Beautiful Female Lead, Character Growth, Clever Protagonist, Complex Family Relationships, Death of Loved Ones, Demons, Dwarfs, Elves, Evil Organizations, Fallen Nobility, Gore, Late Romance, Leadership, Male Protagonist, Management, Medieval, Nationalism, Nobles, Past Plays a Big Role, Saints, Seven Deadly Sins, Slow Romance, Soldiers, Sword And Magic, Time Travel, Tragic Past, Unreliable Narrator, Wars;Action, Adult, Drama, Fantasy, Romance, Tragedy;2021;4.3/5.0;Edit Lists
I Killed the Player of the Academy;사람살려;Korean;https://cdn.novelupdates.com/images/2022/08/I-Killed-the-Academy-Player.jpg;Academy, Adapted to Manhwa, Alchemy, Battle Academy, Beautiful Female Lead, Calm Protagonist, Caring Protagonist, Conditional Power, Cunning Protagonist, Demons, Dense Protagonist, Druids, Fantasy World, Game Elements, Handsome Male Lead, Hard-Working Protagonist, Heroes, Kind Love Interests, Knights, Love Interest Falls in Love First, Magic, Magic Formations, Male Protagonist, Misunderstandings, Mob Protagonist, Multiple Transported Individuals, Older Love Interests, Polygamy, Previous Life Talent, Righteous Protagonist, Saving the World, Second Chance, Selfless Protagonist, Spear Wielder, Spirits, Strong Love Interests, Strong to Stronger, Sword And Magic, Teamwork, Transmigration, Transported into a Game World, Vampires, Weak to Strong, Yandere;Action, Adventure, Comedy, Fantasy, Harem, Romance, School Life;2021;4.2/5.0;Edit Lists
I Teleported Into the Academy of a S*xy Game;Candy Flower;Korean;https://cdn.novelupdates.com/images/2023/03/I-Teleported-Into-the-Academy-of-a-Sxy-Game.png;Academy, Adapted to Manhwa, Beautiful Female Lead, C*nnilingus, Cohabitation, Dungeons, Eye Powers, First-time Interc**rse, F*llatio, Galge, Handsome Male Lead, H*ndjob, Level System, Lucky Protagonist, Magic, Male Protagonist, Masochistic Characters, M*sturbation, Multiple POV, Outdoor Interc**rse, Paizuri, Polygamy, R-18, Strong to Stronger, Student Council, Student-Teacher Relationship, Succubus, Threesome, Transmigration, Transported into a Game World, Twins;Action, Adult, Comedy, Ecchi, Fantasy, Harem, Romance, School Life;2021;3.9/5.0;Edit Lists
I Want to Die One Day Before You;Elim;Korean;https://cdn.novelupdates.com/images/2020/06/IMG_0136.jpg;Aristocracy, Caring Protagonist, Cruel Characters, Death of Loved Ones, Demons, Determined Protagonist, Devoted Love Interests, Different Social Status, Doting Love Interests, First Love, Hidden Abilities, Kind Love Interests, Love Interest Falls in Love First, Magic, Male Protagonist, Multiple POV, R-15, Rebellion, Revenge, Royalty, Ruthless Protagonist, Saints, Second Chance;Drama, Fantasy, Mature, Psychological, Romance, Tragedy;2019;4.0/5.0;Edit Lists
I Was Kidnapped By a Yandere Writer;Papapa;Korean;https://cdn.novelupdates.com/images/2023/03/I-Was-Kidnapped-By-a-Yandere-Writer_1680129346.png;Beautiful Female Lead, Confinement, Cooking, First-time Interc**rse, Handsome Male Lead, H*ndjob, Kidnappings, Kind Love Interests, Love at First Sight, Love Interest Falls in Love First, Male Protagonist, Modern Day, Multiple Personalities, Obsessive Love, R-18, R*pe Victim Becomes Lover, Reverse R*pe, Strong Love Interests, Ugly to Beautiful, Unconditional Love, Writers, Yandere;Adult, Comedy, Drama, Horror, Mature, Romance, Slice of Life;2021;3.8/5.0;Edit Lists
I’m Not Going to Do Something Like Break off Our Engagement;Jupiter Studio;Japanese;https://cdn.novelupdates.com/images/2021/04/Im-not-going-to-do-something-like-break-off-our-engagement.jpg;Adapted to Manga, Age Progression, Arranged Marriage, Beautiful Female Lead, Caring Protagonist, Child Protagonist, Doting Love Interests, Early Romance, Fantasy World, Handsome Male Lead, Heartwarming, Male Protagonist, Marriage, Nobles, Otome Game, Protagonist Falls in Love First, Reincarnated in Another World, Second Chance, Time Skip, Villainess Noble Girls;Comedy, Fantasy, Romance, Shounen;2019;4.3/5.0;Edit Lists
My Daughters Are Regressors;Michuri;Korean;https://cdn.novelupdates.com/images/2023/08/My-Daughters-Are-Regressors.jpg;Award-winning Work, Childcare, Cute Children, Cute Story, Demon Lord, Dense Protagonist, Doting Parents, Evil Gods, Evil Organizations, Familial Love, Family, God Protagonist, Gods, Hated Protagonist, Kuudere, Male Protagonist, Overpowered Protagonist, Polygamy, Protagonist Strong from the Start, Racism, Strong Love Interests, Thieves, Time Paradox, Time Travel, Tsundere, Unreliable Narrator, World Travel, Younger Love Interests;Action, Comedy, Fantasy, Harem, Mystery, Slice of Life;2022;4.1/5.0;Edit Lists
My Friend’s Harem Is Obsessed With Me;_172;Korean;https://cdn.novelupdates.com/images/2022/12/My-Friends-Harem-Is-Obsessed-With-Me.jpg;Academy, Age Regression, Aristocracy, Award-winning Work, Beautiful Female Lead, Calm Protagonist, Charismatic Protagonist, Childhood Friends, Clever Protagonist, Cold Love Interests, Cunning Protagonist, Demons, Determined Protagonist, Hated Protagonist, Love Interest Falls in Love First, Magic, Male Protagonist, Misunderstandings, Obsessive Love, Overpowered Protagonist, Past Plays a Big Role, Past Trauma, Previous Life Talent, Romantic Subplot, Saving the World, Strong Love Interests, Sword And Magic, Tsundere, Yandere;Action, Adventure, Fantasy, Harem, Romance, School Life;2022;3.6/5.0;Edit Lists
My Girlfriend Is Very Good to Me;AloEN(알로엔);Korean;https://cdn.novelupdates.com/images/2022/12/My-girlfriend-is-very-good-to-me_1671208088.jpg;Adapted to Manhwa, Amnesia, Average-looking Protagonist, Beautiful Female Lead, Couple Growth, Cute Story, Early Romance, First Love, Heartwarming, Kind Love Interests, Love Interest Falls in Love First, Male Protagonist, Modern Day, Past Plays a Big Role, Past Trauma, Previous Life Talent, R-18, Reincarnation, Second Chance, Tragic Past, Unconditional Love;Comedy, Drama, Romance, Slice of Life;2022;4.2/5.0;Edit Lists
My Housemaid Is The Most Beautiful Girl In School;S004;Korean;https://cdn.novelupdates.com/images/2023/03/My-Housemaid-Is-The-Most-Beautiful-Girl-In-School.jpg;Beautiful Female Lead, Cohabitation, Maids, Male Protagonist;Romance, School Life;2021;3.8/5.0;Edit Lists
Only After I Was Reborn Did I Realize That I Had Childhood Sweethearts;Cao Manjun;Chinese;https://cdn.novelupdates.com/images/2023/08/Only-After-I-Was-Reborn-Did-I-Realize-That-I-Had-Childhood-Sweethearts.png;Age Progression, Appearance Different from Actual Age, Beautiful Female Lead, Calm Protagonist, Caring Protagonist, Child Protagonist, Childhood Friends, Childhood Love, Childhood Promise, Clingy Lover, Confident Protagonist, Heartwarming, Kind Love Interests, Love Triangles, Male Protagonist, Modern Day, Multiple Timelines, Popular Love Interests, Second Chance, Time Skip;Comedy, Drama, Harem, Romance, School Life, Slice of Life;2022;4.2/5.0;Edit Lists
Overpowered Archmage Doesn’t Hide His Talent;하주비;Korean;https://cdn.novelupdates.com/images/2023/04/Overpowered-Archmage-Doesnt-Hide-His-Talent.jpg;Academy, Beasts, Beautiful Female Lead, Betrayal, Fantasy Creatures, Fantasy World, Magic, Magic Beasts, Male Protagonist, Obsessive Love, Overpowered Protagonist, Previous Life Talent, Protagonist Strong from the Start, Quirky Characters, Transmigration, Transported to Another World, Underestimated Protagonist, Wizards;Action, Adventure, Fantasy, Harem, Romance;2023;3.7/5.0;Edit Lists
Pick Up the Rejected Pure Love;양갱E;Korean;https://cdn.novelupdates.com/images/2023/06/Pick-Up-the-Rejected-Pure-Love.png;Academy, Age Progression, Beautiful Female Lead, Calm Protagonist, Caring Protagonist, Clever Protagonist, Clingy Lover, Cohabitation, College/University, Cute Story, Early Romance, First Love, First-time Interc**rse, Handsome Male Lead, Hard-Working Protagonist, Kind Love Interests, Male Protagonist, Modern Day, Multiple POV, Obsessive Love, Proactive Protagonist, Protagonist Falls in Love First, R-18, Transmigration, Yandere;Comedy, Drama, Fantasy, Romance, School Life, Slice of Life;2023;4.3/5.0;Edit Lists
